Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00023733	101	WBGene00023733	33	WBGene00023733	128	WBGene00023733	54
WBGene00023734	0	WBGene00023734	5	WBGene00023734	0	WBGene00023734	1
WBGene00023737	0	WBGene00023737	1	WBGene00023737	0	WBGene00023737	0
WBGene00023739	11	WBGene00023739	5	WBGene00023739	1	WBGene00023739	0
WBGene00023740	214	WBGene00023740	100	WBGene00023740	28	WBGene00023740	31
WBGene00023741	213	WBGene00023741	231	WBGene00023741	189	WBGene00023741	281
WBGene00023742	255	WBGene00023742	260	WBGene00023742	287	WBGene00023742	282
WBGene00023744	332	WBGene00023744	261	WBGene00023744	184	WBGene00023744	150
WBGene00023745	34	WBGene00023745	8	WBGene00023745	463	WBGene00023745	669
WBGene00023746	0	WBGene00023746	3	WBGene00023746	6	WBGene00023746	10
WBGene00023747	265	WBGene00023747	116	WBGene00023747	317	WBGene00023747	153
WBGene00023748	11	WBGene00023748	1	WBGene00023748	2	WBGene00023748	0
WBGene00023749	17	WBGene00023749	3	WBGene00023749	4	WBGene00023749	0
WBGene00023750	0	WBGene00023750	4	WBGene00023750	0	WBGene00023750	1
WBGene00023751	0	WBGene00023751	4	WBGene00023751	1	WBGene00023751	0
WBGene00023752	2	WBGene00023752	0	WBGene00023752	6	WBGene00023752	1
WBGene00023753	1	WBGene00023753	0	WBGene00023753	2	WBGene00023753	0
WBGene00023755	0	WBGene00023755	0	WBGene00023755	0	WBGene00023755	2
WBGene00023756	257	WBGene00023756	40	WBGene00023756	107	WBGene00023756	23
WBGene00023757	2	WBGene00023757	1	WBGene00023757	2	WBGene00023757	0
WBGene00023759	350	WBGene00023759	14	WBGene00023759	1	WBGene00023759	1
WBGene00023760	381	WBGene00023760	89	WBGene00023760	35	WBGene00023760	4
WBGene00023761	22	WBGene00023761	8	WBGene00023761	31	WBGene00023761	5
WBGene00023762	11	WBGene00023762	9	WBGene00023762	1	WBGene00023762	5
WBGene00023763	20	WBGene00023763	0	WBGene00023763	1	WBGene00023763	0
WBGene00023764	1	WBGene00023764	0	WBGene00023764	1	WBGene00023764	0
WBGene00023765	489	WBGene00023765	268	WBGene00023765	123	WBGene00023765	107
WBGene00023767	3	WBGene00023767	8	WBGene00023767	3	WBGene00023767	3
WBGene00023769	174	WBGene00023769	42	WBGene00023769	3	WBGene00023769	0
WBGene00023770	3	WBGene00023770	0	WBGene00023770	1	WBGene00023770	0
WBGene00023771	82	WBGene00023771	35	WBGene00023771	91	WBGene00023771	30
WBGene00023772	0	WBGene00023772	1	WBGene00023772	0	WBGene00023772	1
WBGene00023773	665	WBGene00023773	697	WBGene00023773	396	WBGene00023773	381
WBGene00023774	33	WBGene00023774	11	WBGene00023774	149	WBGene00023774	17
WBGene00023775	93	WBGene00023775	95	WBGene00023775	1	WBGene00023775	2
