Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment 
WBGene00086641	0	WBGene00086641	0	WBGene00086641	0	WBGene00086641	0
WBGene00086645	0	WBGene00086645	0	WBGene00086645	0	WBGene00086645	0
WBGene00086648	193	WBGene00086648	107	WBGene00086648	224	WBGene00086648	164
WBGene00086649	178	WBGene00086649	180	WBGene00086649	197	WBGene00086649	151
WBGene00086650	0	WBGene00086650	0	WBGene00086650	0	WBGene00086650	0
WBGene00086652	0	WBGene00086652	1	WBGene00086652	0	WBGene00086652	0
WBGene00086653	0	WBGene00086653	0	WBGene00086653	0	WBGene00086653	0
WBGene00086654	2	WBGene00086654	0	WBGene00086654	0	WBGene00086654	0
WBGene00086656	8	WBGene00086656	11	WBGene00086656	18	WBGene00086656	18
WBGene00086657	127	WBGene00086657	139	WBGene00086657	163	WBGene00086657	137
WBGene00086661	0	WBGene00086661	0	WBGene00086661	0	WBGene00086661	0
WBGene00086662	0	WBGene00086662	0	WBGene00086662	0	WBGene00086662	0
WBGene00086666	13	WBGene00086666	15	WBGene00086666	21	WBGene00086666	17
WBGene00086669	89	WBGene00086669	31	WBGene00086669	17	WBGene00086669	0
WBGene00086670	4	WBGene00086670	4	WBGene00086670	0	WBGene00086670	0
WBGene00086673	7	WBGene00086673	13	WBGene00086673	2	WBGene00086673	9
WBGene00086674	10	WBGene00086674	6	WBGene00086674	11	WBGene00086674	9
WBGene00086675	20	WBGene00086675	24	WBGene00086675	17	WBGene00086675	34
WBGene00086678	629	WBGene00086678	527	WBGene00086678	755	WBGene00086678	553
WBGene00086680	6	WBGene00086680	1	WBGene00086680	3	WBGene00086680	3
WBGene00086683	0	WBGene00086683	0	WBGene00086683	0	WBGene00086683	0
WBGene00086684	0	WBGene00086684	0	WBGene00086684	0	WBGene00086684	0
WBGene00086685	140	WBGene00086685	110	WBGene00086685	137	WBGene00086685	144
WBGene00086686	222	WBGene00086686	161	WBGene00086686	239	WBGene00086686	187
WBGene00086692	0	WBGene00086692	0	WBGene00086692	0	WBGene00086692	0
WBGene00086693	98	WBGene00086693	66	WBGene00086693	120	WBGene00086693	58
WBGene00086694	0	WBGene00086694	0	WBGene00086694	2	WBGene00086694	0
WBGene00086695	0	WBGene00086695	0	WBGene00086695	0	WBGene00086695	0
WBGene00086699	0	WBGene00086699	0	WBGene00086699	1	WBGene00086699	0
WBGene00086700	15	WBGene00086700	15	WBGene00086700	15	WBGene00086700	28
WBGene00086701	38	WBGene00086701	35	WBGene00086701	60	WBGene00086701	52
WBGene00086705	0	WBGene00086705	0	WBGene00086705	0	WBGene00086705	0
WBGene00086709	73	WBGene00086709	35	WBGene00086709	375	WBGene00086709	188
WBGene00086712	6	WBGene00086712	1	WBGene00086712	3	WBGene00086712	0
WBGene00086723	11	WBGene00086723	5	WBGene00086723	21	WBGene00086723	11
WBGene00086724	0	WBGene00086724	0	WBGene00086724	0	WBGene00086724	0
WBGene00086726	2	WBGene00086726	3	WBGene00086726	3	WBGene00086726	2
WBGene00086727	1	WBGene00086727	0	WBGene00086727	0	WBGene00086727	0
WBGene00086728	0	WBGene00086728	0	WBGene00086728	0	WBGene00086728	3
WBGene00086732	0	WBGene00086732	0	WBGene00086732	1	WBGene00086732	0
WBGene00086733	34	WBGene00086733	23	WBGene00086733	61	WBGene00086733	30
WBGene00086736	2	WBGene00086736	3	WBGene00086736	2	WBGene00086736	0
WBGene00086737	63	WBGene00086737	33	WBGene00086737	3	WBGene00086737	3
WBGene00086738	1179	WBGene00086738	1025	WBGene00086738	1278	WBGene00086738	1031
WBGene00086739	167	WBGene00086739	99	WBGene00086739	42	WBGene00086739	44
WBGene00086747	0	WBGene00086747	2	WBGene00086747	0	WBGene00086747	0
WBGene00086748	9	WBGene00086748	0	WBGene00086748	4	WBGene00086748	0
WBGene00086749	213	WBGene00086749	166	WBGene00086749	183	WBGene00086749	141
WBGene00086750	0	WBGene00086750	0	WBGene00086750	0	WBGene00086750	0
WBGene00086753	0	WBGene00086753	2	WBGene00086753	0	WBGene00086753	0
WBGene00086754	889	WBGene00086754	829	WBGene00086754	884	WBGene00086754	731
WBGene00086755	0	WBGene00086755	2	WBGene00086755	0	WBGene00086755	0
WBGene00086756	0	WBGene00086756	0	WBGene00086756	0	WBGene00086756	0
WBGene00086757	0	WBGene00086757	0	WBGene00086757	0	WBGene00086757	0
WBGene00086758	3	WBGene00086758	0	WBGene00086758	0	WBGene00086758	0
WBGene00086759	0	WBGene00086759	0	WBGene00086759	0	WBGene00086759	0
WBGene00086760	13	WBGene00086760	14	WBGene00086760	11	WBGene00086760	4
WBGene00086761	0	WBGene00086761	0	WBGene00086761	0	WBGene00086761	0
WBGene00086762	0	WBGene00086762	0	WBGene00086762	4	WBGene00086762	0
WBGene00086765	0	WBGene00086765	0	WBGene00086765	0	WBGene00086765	0
WBGene00086766	0	WBGene00086766	4	WBGene00086766	0	WBGene00086766	0
WBGene00086768	0	WBGene00086768	0	WBGene00086768	0	WBGene00086768	0
WBGene00086769	0	WBGene00086769	2	WBGene00086769	0	WBGene00086769	0
WBGene00086770	0	WBGene00086770	0	WBGene00086770	0	WBGene00086770	0
WBGene00086771	0	WBGene00086771	0	WBGene00086771	0	WBGene00086771	0
WBGene00086772	0	WBGene00086772	0	WBGene00086772	0	WBGene00086772	0
WBGene00086774	4	WBGene00086774	2	WBGene00086774	0	WBGene00086774	0
WBGene00086778	0	WBGene00086778	1	WBGene00086778	3	WBGene00086778	0
WBGene00086780	0	WBGene00086780	0	WBGene00086780	0	WBGene00086780	0
WBGene00086781	0	WBGene00086781	0	WBGene00086781	0	WBGene00086781	0
WBGene00086782	0	WBGene00086782	0	WBGene00086782	0	WBGene00086782	0
WBGene00086783	16	WBGene00086783	26	WBGene00086783	10	WBGene00086783	18
WBGene00086784	597	WBGene00086784	560	WBGene00086784	670	WBGene00086784	670
WBGene00086785	290	WBGene00086785	212	WBGene00086785	28	WBGene00086785	35
WBGene00086786	0	WBGene00086786	0	WBGene00086786	8	WBGene00086786	2
WBGene00086787	0	WBGene00086787	1	WBGene00086787	0	WBGene00086787	1
WBGene00086791	965	WBGene00086791	411	WBGene00086791	391	WBGene00086791	623
WBGene00086792	94	WBGene00086792	64	WBGene00086792	64	WBGene00086792	43
WBGene00086793	25	WBGene00086793	9	WBGene00086793	35	WBGene00086793	29
WBGene00086795	0	WBGene00086795	0	WBGene00086795	0	WBGene00086795	0
WBGene00086796	0	WBGene00086796	0	WBGene00086796	0	WBGene00086796	0
WBGene00086797	221	WBGene00086797	195	WBGene00086797	254	WBGene00086797	206
WBGene00086798	0	WBGene00086798	0	WBGene00086798	0	WBGene00086798	0
WBGene00086799	0	WBGene00086799	0	WBGene00086799	0	WBGene00086799	0
WBGene00086802	0	WBGene00086802	0	WBGene00086802	0	WBGene00086802	0
WBGene00086803	0	WBGene00086803	1	WBGene00086803	0	WBGene00086803	0
WBGene00086804	0	WBGene00086804	2	WBGene00086804	0	WBGene00086804	0
WBGene00086805	6	WBGene00086805	0	WBGene00086805	1	WBGene00086805	0
WBGene00086806	56	WBGene00086806	16	WBGene00086806	2	WBGene00086806	0
WBGene00086807	0	WBGene00086807	0	WBGene00086807	0	WBGene00086807	0
WBGene00086808	0	WBGene00086808	0	WBGene00086808	0	WBGene00086808	0
WBGene00086810	1	WBGene00086810	0	WBGene00086810	0	WBGene00086810	0
WBGene00086811	0	WBGene00086811	0	WBGene00086811	0	WBGene00086811	0
WBGene00086812	0	WBGene00086812	0	WBGene00086812	0	WBGene00086812	0
WBGene00086813	1	WBGene00086813	0	WBGene00086813	2	WBGene00086813	0
WBGene00086814	8	WBGene00086814	5	WBGene00086814	10	WBGene00086814	4
WBGene00086815	0	WBGene00086815	0	WBGene00086815	0	WBGene00086815	0
WBGene00086816	1	WBGene00086816	0	WBGene00086816	1	WBGene00086816	3
WBGene00086817	0	WBGene00086817	0	WBGene00086817	0	WBGene00086817	0
WBGene00086822	0	WBGene00086822	0	WBGene00086822	2	WBGene00086822	0
WBGene00086823	0	WBGene00086823	0	WBGene00086823	0	WBGene00086823	0
WBGene00086824	0	WBGene00086824	0	WBGene00086824	0	WBGene00086824	0
WBGene00086825	0	WBGene00086825	2	WBGene00086825	2	WBGene00086825	2
WBGene00086826	330	WBGene00086826	369	WBGene00086826	183	WBGene00086826	199
WBGene00086827	0	WBGene00086827	0	WBGene00086827	0	WBGene00086827	0
WBGene00086828	72	WBGene00086828	49	WBGene00086828	85	WBGene00086828	41
WBGene00086829	1	WBGene00086829	1	WBGene00086829	51	WBGene00086829	53
WBGene00086830	0	WBGene00086830	0	WBGene00086830	0	WBGene00086830	0
WBGene00086832	1118	WBGene00086832	1118	WBGene00086832	1208	WBGene00086832	1257
WBGene00086833	188	WBGene00086833	171	WBGene00086833	133	WBGene00086833	130
WBGene00086834	0	WBGene00086834	0	WBGene00086834	0	WBGene00086834	0
WBGene00086835	0	WBGene00086835	2	WBGene00086835	1	WBGene00086835	0
WBGene00086836	0	WBGene00086836	0	WBGene00086836	0	WBGene00086836	0
WBGene00086837	4	WBGene00086837	4	WBGene00086837	8	WBGene00086837	4
WBGene00086838	0	WBGene00086838	0	WBGene00086838	0	WBGene00086838	0
WBGene00086839	0	WBGene00086839	0	WBGene00086839	0	WBGene00086839	0
WBGene00086840	2	WBGene00086840	1	WBGene00086840	1	WBGene00086840	3
WBGene00086842	66	WBGene00086842	23	WBGene00086842	16	WBGene00086842	2
WBGene00086843	602	WBGene00086843	310	WBGene00086843	178	WBGene00086843	100
WBGene00086847	17	WBGene00086847	7	WBGene00086847	11	WBGene00086847	4
WBGene00086848	1	WBGene00086848	0	WBGene00086848	1	WBGene00086848	0
WBGene00086850	0	WBGene00086850	0	WBGene00086850	0	WBGene00086850	0
WBGene00086851	0	WBGene00086851	0	WBGene00086851	0	WBGene00086851	0
WBGene00086854	1	WBGene00086854	1	WBGene00086854	5	WBGene00086854	0
WBGene00086855	2	WBGene00086855	0	WBGene00086855	0	WBGene00086855	0
WBGene00086856	1046	WBGene00086856	1328	WBGene00086856	515	WBGene00086856	726
WBGene00086857	0	WBGene00086857	0	WBGene00086857	0	WBGene00086857	0
WBGene00086858	28	WBGene00086858	19	WBGene00086858	15	WBGene00086858	14
WBGene00086860	104	WBGene00086860	36	WBGene00086860	105	WBGene00086860	27
WBGene00086861	279	WBGene00086861	23	WBGene00086861	126	WBGene00086861	15
WBGene00086864	2	WBGene00086864	0	WBGene00086864	0	WBGene00086864	0
WBGene00086865	540	WBGene00086865	446	WBGene00086865	505	WBGene00086865	442
WBGene00086867	0	WBGene00086867	0	WBGene00086867	1	WBGene00086867	0
WBGene00086870	0	WBGene00086870	0	WBGene00086870	0	WBGene00086870	0
WBGene00086872	0	WBGene00086872	0	WBGene00086872	0	WBGene00086872	0
WBGene00086876	12	WBGene00086876	12	WBGene00086876	15	WBGene00086876	12
WBGene00086881	0	WBGene00086881	0	WBGene00086881	0	WBGene00086881	0
WBGene00086883	22	WBGene00086883	3	WBGene00086883	55	WBGene00086883	17
WBGene00086884	0	WBGene00086884	0	WBGene00086884	0	WBGene00086884	0
WBGene00086885	4	WBGene00086885	0	WBGene00086885	0	WBGene00086885	0
WBGene00086887	17	WBGene00086887	4	WBGene00086887	11	WBGene00086887	6
WBGene00086888	1	WBGene00086888	0	WBGene00086888	1	WBGene00086888	2
WBGene00086889	0	WBGene00086889	0	WBGene00086889	0	WBGene00086889	0
WBGene00086890	0	WBGene00086890	0	WBGene00086890	0	WBGene00086890	0
WBGene00086892	0	WBGene00086892	0	WBGene00086892	1	WBGene00086892	0
WBGene00086896	18	WBGene00086896	8	WBGene00086896	18	WBGene00086896	7
WBGene00086897	2449	WBGene00086897	3314	WBGene00086897	2299	WBGene00086897	2857
WBGene00086898	0	WBGene00086898	0	WBGene00086898	0	WBGene00086898	0
WBGene00086900	16	WBGene00086900	10	WBGene00086900	1	WBGene00086900	0
WBGene00086901	0	WBGene00086901	0	WBGene00086901	0	WBGene00086901	0
WBGene00086902	2	WBGene00086902	0	WBGene00086902	2	WBGene00086902	0
WBGene00086908	0	WBGene00086908	0	WBGene00086908	0	WBGene00086908	0
WBGene00086909	3	WBGene00086909	2	WBGene00086909	3	WBGene00086909	0
WBGene00086910	5	WBGene00086910	1	WBGene00086910	5	WBGene00086910	3
WBGene00086911	99	WBGene00086911	23	WBGene00086911	82	WBGene00086911	21
WBGene00086912	3	WBGene00086912	0	WBGene00086912	1	WBGene00086912	1
WBGene00086913	0	WBGene00086913	0	WBGene00086913	0	WBGene00086913	0
WBGene00086914	0	WBGene00086914	1	WBGene00086914	1	WBGene00086914	0
WBGene00086915	69	WBGene00086915	45	WBGene00086915	44	WBGene00086915	27
WBGene00086917	38	WBGene00086917	18	WBGene00086917	99	WBGene00086917	61
WBGene00086918	0	WBGene00086918	0	WBGene00086918	0	WBGene00086918	0
WBGene00086919	0	WBGene00086919	0	WBGene00086919	0	WBGene00086919	2
WBGene00086922	180	WBGene00086922	99	WBGene00086922	144	WBGene00086922	64
WBGene00086927	6	WBGene00086927	2	WBGene00086927	8	WBGene00086927	5
WBGene00086928	0	WBGene00086928	0	WBGene00086928	0	WBGene00086928	0
WBGene00086931	5	WBGene00086931	61	WBGene00086931	3	WBGene00086931	1
WBGene00086932	3	WBGene00086932	1	WBGene00086932	11	WBGene00086932	2
WBGene00086933	0	WBGene00086933	0	WBGene00086933	4	WBGene00086933	0
WBGene00086934	515	WBGene00086934	365	WBGene00086934	92	WBGene00086934	84
WBGene00086935	107	WBGene00086935	76	WBGene00086935	32	WBGene00086935	20
WBGene00086936	0	WBGene00086936	0	WBGene00086936	0	WBGene00086936	0
WBGene00086938	0	WBGene00086938	0	WBGene00086938	0	WBGene00086938	0
WBGene00086939	0	WBGene00086939	0	WBGene00086939	0	WBGene00086939	0
WBGene00086940	0	WBGene00086940	0	WBGene00086940	0	WBGene00086940	0
WBGene00086944	0	WBGene00086944	0	WBGene00086944	1	WBGene00086944	0
WBGene00086946	1	WBGene00086946	0	WBGene00086946	0	WBGene00086946	0
WBGene00086947	6	WBGene00086947	2	WBGene00086947	8	WBGene00086947	4
WBGene00086952	1	WBGene00086952	1	WBGene00086952	0	WBGene00086952	0
WBGene00086955	62	WBGene00086955	1	WBGene00086955	0	WBGene00086955	0
WBGene00086964	0	WBGene00086964	0	WBGene00086964	0	WBGene00086964	0
WBGene00086965	0	WBGene00086965	0	WBGene00086965	0	WBGene00086965	0
WBGene00086966	3	WBGene00086966	0	WBGene00086966	0	WBGene00086966	4
WBGene00086968	904	WBGene00086968	450	WBGene00086968	1910	WBGene00086968	1086
WBGene00086969	0	WBGene00086969	0	WBGene00086969	68	WBGene00086969	44
WBGene00086972	2	WBGene00086972	1	WBGene00086972	5	WBGene00086972	1
WBGene00086973	2	WBGene00086973	0	WBGene00086973	3	WBGene00086973	2
WBGene00086974	69	WBGene00086974	20	WBGene00086974	44	WBGene00086974	40
WBGene00086975	0	WBGene00086975	0	WBGene00086975	0	WBGene00086975	0
WBGene00086978	5	WBGene00086978	2	WBGene00086978	0	WBGene00086978	0
WBGene00086979	0	WBGene00086979	0	WBGene00086979	0	WBGene00086979	0
WBGene00086980	4	WBGene00086980	0	WBGene00086980	2	WBGene00086980	0
WBGene00086981	544	WBGene00086981	575	WBGene00086981	340	WBGene00086981	422
WBGene00086985	29	WBGene00086985	41	WBGene00086985	9	WBGene00086985	10
WBGene00086986	3581	WBGene00086986	2691	WBGene00086986	1798	WBGene00086986	1260
WBGene00086987	1717	WBGene00086987	1929	WBGene00086987	1629	WBGene00086987	1859
WBGene00086988	310	WBGene00086988	420	WBGene00086988	221	WBGene00086988	332
WBGene00086989	459	WBGene00086989	317	WBGene00086989	407	WBGene00086989	313
WBGene00086991	377	WBGene00086991	276	WBGene00086991	394	WBGene00086991	297
WBGene00086992	2	WBGene00086992	3	WBGene00086992	0	WBGene00086992	0
WBGene00086996	0	WBGene00086996	0	WBGene00086996	0	WBGene00086996	0
WBGene00086997	0	WBGene00086997	0	WBGene00086997	0	WBGene00086997	0
WBGene00086998	39	WBGene00086998	32	WBGene00086998	1	WBGene00086998	0
WBGene00086999	672	WBGene00086999	561	WBGene00086999	565	WBGene00086999	456
WBGene00087000	544	WBGene00087000	442	WBGene00087000	481	WBGene00087000	446
WBGene00087001	4	WBGene00087001	7	WBGene00087001	8	WBGene00087001	2
WBGene00087007	9	WBGene00087007	2	WBGene00087007	12	WBGene00087007	0
WBGene00087008	7	WBGene00087008	1	WBGene00087008	4	WBGene00087008	0
WBGene00087010	0	WBGene00087010	0	WBGene00087010	0	WBGene00087010	0
WBGene00087012	2	WBGene00087012	1	WBGene00087012	8	WBGene00087012	4
WBGene00087013	0	WBGene00087013	1	WBGene00087013	0	WBGene00087013	0
WBGene00087014	1811	WBGene00087014	2149	WBGene00087014	1833	WBGene00087014	2278
WBGene00087016	0	WBGene00087016	0	WBGene00087016	0	WBGene00087016	0
WBGene00087017	0	WBGene00087017	0	WBGene00087017	0	WBGene00087017	0
WBGene00087018	0	WBGene00087018	1	WBGene00087018	2	WBGene00087018	0
WBGene00087019	1	WBGene00087019	0	WBGene00087019	0	WBGene00087019	0
WBGene00087020	0	WBGene00087020	0	WBGene00087020	0	WBGene00087020	0
WBGene00087021	0	WBGene00087021	0	WBGene00087021	0	WBGene00087021	0
WBGene00087022	0	WBGene00087022	0	WBGene00087022	0	WBGene00087022	0
WBGene00087026	0	WBGene00087026	1	WBGene00087026	2	WBGene00087026	5
WBGene00087028	0	WBGene00087028	0	WBGene00087028	0	WBGene00087028	0
WBGene00087030	315	WBGene00087030	337	WBGene00087030	142	WBGene00087030	236
WBGene00087031	4	WBGene00087031	1	WBGene00087031	3	WBGene00087031	0
WBGene00087032	2	WBGene00087032	0	WBGene00087032	0	WBGene00087032	0
WBGene00087033	0	WBGene00087033	0	WBGene00087033	0	WBGene00087033	0
WBGene00087039	0	WBGene00087039	0	WBGene00087039	37	WBGene00087039	20
WBGene00087042	1	WBGene00087042	0	WBGene00087042	0	WBGene00087042	0
WBGene00087044	124	WBGene00087044	53	WBGene00087044	110	WBGene00087044	54
WBGene00087045	0	WBGene00087045	0	WBGene00087045	0	WBGene00087045	0
WBGene00087046	3	WBGene00087046	3	WBGene00087046	2	WBGene00087046	2
WBGene00087049	0	WBGene00087049	0	WBGene00087049	0	WBGene00087049	0
WBGene00087050	154	WBGene00087050	109	WBGene00087050	124	WBGene00087050	91
WBGene00087054	0	WBGene00087054	0	WBGene00087054	0	WBGene00087054	0
WBGene00087055	2	WBGene00087055	0	WBGene00087055	0	WBGene00087055	0
WBGene00087056	0	WBGene00087056	0	WBGene00087056	0	WBGene00087056	0
WBGene00087057	11	WBGene00087057	0	WBGene00087057	4	WBGene00087057	0
WBGene00087058	36	WBGene00087058	29	WBGene00087058	0	WBGene00087058	0
WBGene00087059	0	WBGene00087059	0	WBGene00087059	0	WBGene00087059	0
WBGene00087062	5	WBGene00087062	1	WBGene00087062	0	WBGene00087062	0
WBGene00087063	2	WBGene00087063	1	WBGene00087063	0	WBGene00087063	0
WBGene00087066	0	WBGene00087066	0	WBGene00087066	2	WBGene00087066	1
WBGene00087067	1	WBGene00087067	0	WBGene00087067	1	WBGene00087067	0
WBGene00087069	500	WBGene00087069	359	WBGene00087069	524	WBGene00087069	441
WBGene00087070	26	WBGene00087070	4	WBGene00087070	1	WBGene00087070	0
WBGene00087071	2	WBGene00087071	3	WBGene00087071	6	WBGene00087071	8
WBGene00087072	2	WBGene00087072	1	WBGene00087072	0	WBGene00087072	0
WBGene00087073	20	WBGene00087073	25	WBGene00087073	21	WBGene00087073	18
WBGene00087074	48	WBGene00087074	52	WBGene00087074	2	WBGene00087074	0
WBGene00087077	203	WBGene00087077	155	WBGene00087077	162	WBGene00087077	93
WBGene00087079	1642	WBGene00087079	1242	WBGene00087079	75	WBGene00087079	51
WBGene00087080	0	WBGene00087080	0	WBGene00087080	0	WBGene00087080	0
WBGene00087081	176	WBGene00087081	134	WBGene00087081	33	WBGene00087081	19
WBGene00087082	0	WBGene00087082	2	WBGene00087082	0	WBGene00087082	0
WBGene00087083	2	WBGene00087083	3	WBGene00087083	3	WBGene00087083	1
WBGene00087084	59	WBGene00087084	15	WBGene00087084	54	WBGene00087084	8
WBGene00087085	0	WBGene00087085	0	WBGene00087085	0	WBGene00087085	0
WBGene00087087	2	WBGene00087087	1	WBGene00087087	3	WBGene00087087	1
WBGene00087088	125	WBGene00087088	13	WBGene00087088	13	WBGene00087088	0
WBGene00087089	26	WBGene00087089	15	WBGene00087089	36	WBGene00087089	19
WBGene00087090	448	WBGene00087090	613	WBGene00087090	647	WBGene00087090	740
WBGene00087091	16	WBGene00087091	9	WBGene00087091	0	WBGene00087091	0
WBGene00087096	0	WBGene00087096	1	WBGene00087096	1	WBGene00087096	1
WBGene00087097	11	WBGene00087097	21	WBGene00087097	9	WBGene00087097	2
WBGene00087099	2	WBGene00087099	0	WBGene00087099	0	WBGene00087099	0
WBGene00087100	3309	WBGene00087100	3825	WBGene00087100	553	WBGene00087100	564
WBGene00087101	687	WBGene00087101	627	WBGene00087101	46	WBGene00087101	44
WBGene00087103	19	WBGene00087103	5	WBGene00087103	10	WBGene00087103	4
WBGene00087105	1664	WBGene00087105	1816	WBGene00087105	3	WBGene00087105	3
WBGene00087107	0	WBGene00087107	0	WBGene00087107	1	WBGene00087107	0
WBGene00087109	0	WBGene00087109	0	WBGene00087109	0	WBGene00087109	0
WBGene00087110	1	WBGene00087110	0	WBGene00087110	0	WBGene00087110	0
WBGene00087111	0	WBGene00087111	0	WBGene00087111	4	WBGene00087111	12
WBGene00087112	0	WBGene00087112	0	WBGene00087112	0	WBGene00087112	0
WBGene00087113	12	WBGene00087113	33	WBGene00087113	0	WBGene00087113	2
WBGene00087114	0	WBGene00087114	0	WBGene00087114	0	WBGene00087114	0
WBGene00087115	3	WBGene00087115	0	WBGene00087115	0	WBGene00087115	0
WBGene00087118	2	WBGene00087118	0	WBGene00087118	0	WBGene00087118	0
WBGene00087119	1	WBGene00087119	0	WBGene00087119	0	WBGene00087119	0
WBGene00087121	0	WBGene00087121	0	WBGene00087121	0	WBGene00087121	0
WBGene00087123	0	WBGene00087123	0	WBGene00087123	0	WBGene00087123	0
WBGene00087126	363	WBGene00087126	396	WBGene00087126	185	WBGene00087126	169
WBGene00087127	17	WBGene00087127	25	WBGene00087127	21	WBGene00087127	10
WBGene00087129	147	WBGene00087129	104	WBGene00087129	40	WBGene00087129	20
WBGene00087131	43	WBGene00087131	18	WBGene00087131	5	WBGene00087131	3
WBGene00087133	34	WBGene00087133	21	WBGene00087133	7	WBGene00087133	9
WBGene00087135	1	WBGene00087135	0	WBGene00087135	0	WBGene00087135	0
WBGene00087136	4	WBGene00087136	0	WBGene00087136	2	WBGene00087136	0
WBGene00087139	0	WBGene00087139	0	WBGene00087139	0	WBGene00087139	0
WBGene00087141	6	WBGene00087141	16	WBGene00087141	12	WBGene00087141	16
WBGene00087143	1	WBGene00087143	2	WBGene00087143	2	WBGene00087143	1
WBGene00087144	0	WBGene00087144	0	WBGene00087144	0	WBGene00087144	0
WBGene00087145	0	WBGene00087145	0	WBGene00087145	5	WBGene00087145	9
WBGene00087147	13	WBGene00087147	0	WBGene00087147	11	WBGene00087147	7
WBGene00087148	126	WBGene00087148	22	WBGene00087148	19	WBGene00087148	2
WBGene00087149	0	WBGene00087149	0	WBGene00087149	0	WBGene00087149	0
WBGene00087150	109	WBGene00087150	136	WBGene00087150	66	WBGene00087150	107
WBGene00087152	0	WBGene00087152	0	WBGene00087152	1	WBGene00087152	1
WBGene00087153	0	WBGene00087153	0	WBGene00087153	0	WBGene00087153	0
WBGene00087154	3	WBGene00087154	2	WBGene00087154	0	WBGene00087154	1
WBGene00087155	3	WBGene00087155	1	WBGene00087155	0	WBGene00087155	1
WBGene00087157	0	WBGene00087157	0	WBGene00087157	1	WBGene00087157	0
WBGene00087158	0	WBGene00087158	0	WBGene00087158	0	WBGene00087158	0
WBGene00087159	0	WBGene00087159	3	WBGene00087159	0	WBGene00087159	0
WBGene00087160	1	WBGene00087160	3	WBGene00087160	0	WBGene00087160	0
WBGene00087161	0	WBGene00087161	0	WBGene00087161	0	WBGene00087161	0
WBGene00087164	1	WBGene00087164	0	WBGene00087164	0	WBGene00087164	0
WBGene00087166	1	WBGene00087166	2	WBGene00087166	0	WBGene00087166	0
WBGene00087167	5	WBGene00087167	3	WBGene00087167	1	WBGene00087167	0
WBGene00087168	1	WBGene00087168	0	WBGene00087168	0	WBGene00087168	0
WBGene00087169	4	WBGene00087169	4	WBGene00087169	1	WBGene00087169	0
WBGene00087170	0	WBGene00087170	0	WBGene00087170	0	WBGene00087170	0
WBGene00087171	0	WBGene00087171	1	WBGene00087171	1	WBGene00087171	0
WBGene00087172	0	WBGene00087172	0	WBGene00087172	0	WBGene00087172	0
WBGene00087173	2	WBGene00087173	7	WBGene00087173	1	WBGene00087173	0
WBGene00087174	7	WBGene00087174	1	WBGene00087174	0	WBGene00087174	0
WBGene00087175	0	WBGene00087175	0	WBGene00087175	0	WBGene00087175	0
WBGene00087176	0	WBGene00087176	0	WBGene00087176	0	WBGene00087176	0
WBGene00087177	33	WBGene00087177	2	WBGene00087177	14	WBGene00087177	0
WBGene00087178	4	WBGene00087178	5	WBGene00087178	6	WBGene00087178	2
WBGene00087179	20	WBGene00087179	6	WBGene00087179	24	WBGene00087179	8
WBGene00087181	235	WBGene00087181	177	WBGene00087181	186	WBGene00087181	166
WBGene00087182	6	WBGene00087182	12	WBGene00087182	6	WBGene00087182	0
WBGene00087183	32	WBGene00087183	7	WBGene00087183	10	WBGene00087183	10
WBGene00087185	138	WBGene00087185	98	WBGene00087185	105	WBGene00087185	86
WBGene00087186	8	WBGene00087186	10	WBGene00087186	15	WBGene00087186	15
WBGene00087188	131	WBGene00087188	100	WBGene00087188	491	WBGene00087188	288
WBGene00087189	1347	WBGene00087189	1306	WBGene00087189	1828	WBGene00087189	1515
WBGene00087190	110	WBGene00087190	68	WBGene00087190	141	WBGene00087190	90
WBGene00087191	68	WBGene00087191	99	WBGene00087191	63	WBGene00087191	75
WBGene00087192	148	WBGene00087192	143	WBGene00087192	150	WBGene00087192	167
WBGene00087193	92	WBGene00087193	73	WBGene00087193	95	WBGene00087193	87
WBGene00087194	0	WBGene00087194	0	WBGene00087194	2	WBGene00087194	0
WBGene00087195	3	WBGene00087195	1	WBGene00087195	11	WBGene00087195	2
WBGene00087196	37	WBGene00087196	19	WBGene00087196	38	WBGene00087196	8
WBGene00087197	1	WBGene00087197	0	WBGene00087197	0	WBGene00087197	1
WBGene00087198	1	WBGene00087198	1	WBGene00087198	0	WBGene00087198	0
WBGene00087199	0	WBGene00087199	0	WBGene00087199	0	WBGene00087199	5
WBGene00087200	0	WBGene00087200	0	WBGene00087200	0	WBGene00087200	0
WBGene00087201	0	WBGene00087201	0	WBGene00087201	0	WBGene00087201	0
WBGene00087202	1	WBGene00087202	5	WBGene00087202	4	WBGene00087202	1
WBGene00087203	26	WBGene00087203	12	WBGene00087203	46	WBGene00087203	22
WBGene00087204	28	WBGene00087204	5	WBGene00087204	16	WBGene00087204	5
WBGene00087205	0	WBGene00087205	0	WBGene00087205	0	WBGene00087205	0
WBGene00087206	0	WBGene00087206	0	WBGene00087206	1	WBGene00087206	1
WBGene00087207	0	WBGene00087207	0	WBGene00087207	0	WBGene00087207	0
WBGene00087208	1	WBGene00087208	0	WBGene00087208	1	WBGene00087208	0
WBGene00087209	9	WBGene00087209	8	WBGene00087209	7	WBGene00087209	1
WBGene00087210	0	WBGene00087210	2	WBGene00087210	0	WBGene00087210	2
