GO:0000724	WBGene00023807,WBGene00025319,WBGene00025385,WBGene00025552,WBGene00025824,WBGene00026063,WBGene00026527,WBGene00026713,WBGene00027081,WBGene00031229,WBGene00033036,WBGene00033429,WBGene00033574,WBGene00033864,WBGene00035268,WBGene00037739,WBGene00038636,WBGene00039238,WBGene00039305,WBGene00040380,WBGene00040381,WBGene00042359
GO:0000727	WBGene00026657,WBGene00026764,WBGene00031483,WBGene00032682,WBGene00033269,WBGene00033779,WBGene00037858,WBGene00040547
GO:0000730	WBGene00027081
GO:0000733	WBGene00030774,WBGene00042359
GO:0000737	WBGene00026527,WBGene00026754,WBGene00028361
GO:0000738	WBGene00025148,WBGene00025149,WBGene00025151,WBGene00025157,WBGene00032027,WBGene00032875,WBGene00034293,WBGene00034683,WBGene00034684,WBGene00034685,WBGene00039805
GO:0000768	WBGene00024051,WBGene00032334
GO:0000902	WBGene00024826,WBGene00025947,WBGene00026209,WBGene00027454,WBGene00027456,WBGene00027476,WBGene00027478,WBGene00027494,WBGene00027497,WBGene00029171,WBGene00031340,WBGene00033099,WBGene00034336,WBGene00036255,WBGene00036972,WBGene00040127,WBGene00040735
GO:0000915	WBGene00023548,WBGene00027955
GO:0000956	WBGene00024963,WBGene00025920,WBGene00028315,WBGene00033897,WBGene00033936,WBGene00039750,WBGene00040835
GO:0000965	WBGene00028368
GO:0000972	WBGene00026570,WBGene00034317
GO:0000973	WBGene00025819,WBGene00037671
GO:0001172	WBGene00023729,WBGene00024074
GO:0001174	WBGene00028713
GO:0001188	WBGene00035498
GO:0001193	WBGene00032514
GO:0001306	WBGene00032360
GO:0001505	WBGene00026796
GO:0001508	WBGene00040905
GO:0001510	WBGene00033346,WBGene00036538,WBGene00037405,WBGene00039217,WBGene00039895,WBGene00040049,WBGene00041020
GO:0001514	WBGene00029821
GO:0001519	WBGene00035293,WBGene00039465,WBGene00040812
GO:0001522	WBGene00024264,WBGene00026318,WBGene00027917,WBGene00028152,WBGene00034295,WBGene00037760,WBGene00038585,WBGene00038743,WBGene00039710,WBGene00039713,WBGene00042138,WBGene00086709,WBGene00088493
GO:0001525	WBGene00026079,WBGene00026144,WBGene00039749
GO:0001555	WBGene00039765
GO:0001558	WBGene00028053
GO:0001561	WBGene00023767,WBGene00023769,WBGene00025843
GO:0001578	WBGene00033018
GO:0001666	WBGene00026824,WBGene00031804,WBGene00034889,WBGene00037017
GO:0001667	WBGene00031909,WBGene00036903,WBGene00038467
GO:0001676	WBGene00023673,WBGene00026207
GO:0001678	WBGene00034573,WBGene00038675,WBGene00039401
GO:0001682	WBGene00038843,WBGene00042097
GO:0001704	WBGene00032830,WBGene00039763
GO:0001708	WBGene00025576,WBGene00026512,WBGene00026513,WBGene00028484,WBGene00029022,WBGene00029157,WBGene00030313,WBGene00030883,WBGene00031054,WBGene00032205,WBGene00033626,WBGene00034321,WBGene00034325,WBGene00034326,WBGene00034847,WBGene00035132,WBGene00036634,WBGene00039111,WBGene00039763,WBGene00040542
GO:0001709	WBGene00024126,WBGene00024162,WBGene00024165,WBGene00024166,WBGene00030546,WBGene00030547,WBGene00030558,WBGene00030560,WBGene00032830
GO:0001714	WBGene00029557,WBGene00030681,WBGene00032422,WBGene00039628
GO:0001731	WBGene00025526,WBGene00026653,WBGene00030053,WBGene00034004,WBGene00037697,WBGene00039520
GO:0001732	WBGene00023536,WBGene00024001,WBGene00024927,WBGene00026601,WBGene00026744,WBGene00026755,WBGene00026961,WBGene00029048,WBGene00029140,WBGene00030053,WBGene00031063,WBGene00039520,WBGene00042956
GO:0001736	WBGene00025173
GO:0001755	WBGene00038880,WBGene00040760
GO:0001764	WBGene00025536,WBGene00026290,WBGene00027265,WBGene00029021,WBGene00029157,WBGene00029570,WBGene00030749,WBGene00032422,WBGene00033074,WBGene00035383,WBGene00036972,WBGene00038064,WBGene00038284,WBGene00040978,WBGene00041774
GO:0001820	WBGene00026340
GO:0001845	WBGene00033026
GO:0001881	WBGene00033549
GO:0001887	WBGene00024946
GO:0001932	WBGene00035185,WBGene00036972
GO:0001933	WBGene00024774,WBGene00031226,WBGene00032830,WBGene00033776
GO:0001934	WBGene00024774,WBGene00026271,WBGene00030681,WBGene00032230,WBGene00036993,WBGene00039214
GO:0001956	WBGene00024985
GO:0001966	WBGene00034830,WBGene00035165,WBGene00037255,WBGene00038913
GO:0002009	WBGene00024356,WBGene00026848,WBGene00031223,WBGene00031461,WBGene00032365,WBGene00033778,WBGene00038430
GO:0002028	WBGene00027362
GO:0002031	WBGene00029948
GO:0002064	WBGene00038951
GO:0002082	WBGene00025627,WBGene00040683
GO:0002084	WBGene00030057,WBGene00038272
GO:0002092	WBGene00040252
GO:0002098	WBGene00024852,WBGene00026404,WBGene00031222,WBGene00032094,WBGene00034152,WBGene00037292,WBGene00037455,WBGene00038607,WBGene00038929,WBGene00040269,WBGene00041179,WBGene00041763,WBGene00087374,WBGene00087417
GO:0002100	WBGene00034009
GO:0002115	WBGene00035569,WBGene00035847
GO:0002119	WBGene00023554,WBGene00024344,WBGene00024802,WBGene00024929,WBGene00024943,WBGene00025429,WBGene00025530,WBGene00025536,WBGene00025758,WBGene00025806,WBGene00025926,WBGene00026353,WBGene00026544,WBGene00027148,WBGene00027161,WBGene00027205,WBGene00027217,WBGene00028270,WBGene00028423,WBGene00028458,WBGene00029021,WBGene00029022,WBGene00029085,WBGene00029171,WBGene00029488,WBGene00029491,WBGene00029799,WBGene00030210,WBGene00030313,WBGene00030469,WBGene00030531,WBGene00031376,WBGene00032785,WBGene00032817,WBGene00033026,WBGene00033101,WBGene00033437,WBGene00033517,WBGene00033778,WBGene00034007,WBGene00034348,WBGene00034833,WBGene00034950,WBGene00035050,WBGene00035153,WBGene00035383,WBGene00035473,WBGene00035480,WBGene00036285,WBGene00036625,WBGene00036935,WBGene00036993,WBGene00037303,WBGene00037707,WBGene00038070,WBGene00038277,WBGene00038298,WBGene00038646,WBGene00038962,WBGene00039074,WBGene00039264,WBGene00039375,WBGene00040018,WBGene00040126,WBGene00040261,WBGene00040729,WBGene00040820,WBGene00041373,WBGene00042589,WBGene00042643
GO:0002128	WBGene00039217
GO:0002143	WBGene00024772,WBGene00024852,WBGene00028400,WBGene00031222
GO:0002164	WBGene00031348
GO:0002181	WBGene00023704,WBGene00023923,WBGene00025341,WBGene00028008,WBGene00030158,WBGene00030287,WBGene00030459,WBGene00030800,WBGene00033895,WBGene00033996,WBGene00036509,WBGene00037493,WBGene00037697,WBGene00038938,WBGene00039217,WBGene00040086,WBGene00040407,WBGene00040685,WBGene00042813
GO:0002183	WBGene00023536,WBGene00024001,WBGene00024927,WBGene00026601,WBGene00026744,WBGene00026755,WBGene00026961,WBGene00029048,WBGene00029140,WBGene00031063,WBGene00042956
GO:0002188	WBGene00023536,WBGene00034004
GO:0002225	WBGene00024778,WBGene00039516
GO:0002253	WBGene00040820
GO:0002926	WBGene00041763
